Editor,10000,male,5
Motion Graphics designer,11000,male,18
Freelancer,12000,female,22
Freelance Writer,12000,female,3
Freelance Reporter,12000,female,2
Copy Editor,12500,female,12
Graphic Artist,12694,male,13
Staff Writer,13000,female,3
Midday radio host,16000,male,35
Associate Editor,18000,male,2
Community reporter,19000,female,29
Copy Editor,20000,female,40
Journalist,21400,female,5
Senior Reporter,21840,male,5
Digital Content Specialist ,22600,male,8
Health Reporter,23500,female,10
Reporter,24000,female,4
Assistant Editor,24000,male,4
Reporter,24000,female,2.5
Reporter,24622,female,2
Reporter   Content Provider,25000,male,10
Reporter   Content Provider,25000,male,10
Editor,25000,male,10
Freelance Journalist,25000,male,5
Podcast Sidekick and Honorary Producer,25000,male,2
Reporter ,25000,female,2
Sports anchor reporter,25000,female,1
sports anchor reporter,25000,female,1
Digital Producer,25500,female,1
Freelance journalist,26000,male,38
Staff Reporter,26000,female,3
Staff writer,26000,female,2
Assistant Editor,26000,female,1
Reporter,26000,male,1
Staff reporter,26000,female,1
Staff reporter,26500,male,5
Sports Education reporter,27000,male,5
Managing Editor ,27000,female,5
Reporter,27000,female,4
Reporter,27000,female,2
Reporter,27100,female,1
Staff writer,27500,male,7
Sports MMJ,27560,male,1
Reporter,28000,male,4
Television and Digital Content Producer,28000,female,4
Reporter,28000,male,3
reporter,28000,male,2
Digital reporter,28000,female,2
Reporter,28080,female,2
Reporter,28600,female,2.5
Reporter,28600,male,2
Prep sports reporter,29000,male,8
Sports reporter,29000,female,3
Weekend Anchor Producer and MMJ,29000,male,2
Sports reporter,29000,male,0
Sports writer,29500,male,10
Online Editor,29500,male,2
Part-time Digital Content Producer,29744,female,9
Reporter,30000,female,10
Editor,30000,female,8
Managing editor,30000,female,7
Digital Editor,30000,female,6
Reporter multi-media journalist,30000,female,6
Magazine Editor,30000,male,5
Advisor,30000,male,5
Reporter,30000,female,4
Reporter,30000,male,2
Reporter,30000,female,2
Reporter Producer Host,30000,female,2
Graphic Designer and Social Media Contributor,30000,male,1.5
Copy Editor Page Designer,30000,male,1
Reporter ,30000,female,1
News Reporter Staff Writer,30000,female,1
Editorial Assistant,30000,female,0
Managing editor,30200,female,6
Crime reporter,30680,male,8
Reporter,31000,female,10
Reporter,31000,male,3
Multimedia Journalist,31000,male,1.5
Communications Specialist,31138,male,4
Multimedia journalist,31200,male,8
Staff Photographer,31500,male,13
reporter,31500,female,6
Producer,31500,female,3
reporter ,32000,male,8
Creative Services Promotions Producer,32000,male,5
Associate Web Editor,32000,female,5
Reporter assistant editor,32000,female,3
Reporter,32000,female,3
Website Producer,32000,female,3
Photojournalist,32000,male,2.5
Reporter,32000,male,2.5
Staff Writer,32000,female,2
Reporter,32000,male,2
Beauty Assistant,32000,female,2
Local reporter in southeast Wisconsin,32000,male,1
Reporter,32000,female,1
Reporter,32200,female,12
Staff Photographer,32500,male,1.5
Staff Writer,33000,female,25
Reporter,33000,male,2
Producer Writer,33000,female,2
Reporter,33000,female,2
Community reporter ,33000,female,2
Photojournalist,33000,female,1.5
Editorial Assistant,33000,female,1
General Assignment Reporter,33000,female,1
Reporter,33000,female,1
Staff Writer,33150,female,2
Reporter,33500,male,4
Digital Producer I,33800,female,1.5
Editorial Assistant,33950,female,25
Journalist,34000,female,10
Reporter + Photographer,34000,male,9
Reporter,34000,female,5.5
Managing Editor and Writer,34000,female,4
University Photographer,34000,female,3.5
Editor,34000,male,3
Reporter,34000,male,3
Staff Reporter,34000,female,2
Bureau Chief,34000,male,2
Photojournalist,34000,female,1.5
Government reporter photojournalist,34000,female,1
Reporter,34000,female,1
Lifestyle Editor,34100,female,5
Reporter,34400,female,2
Editorial Assistant,35000,female,35
Radio news Anchor,35000,female,7
Photojournalist,35000,male,7
Staff Writer,35000,male,7
Senior Editor,35000,male,6
Multimedia reporter,35000,female,5
Staff Writer,35000,male,5
Associate Editor,35000,female,5
Sports reporter,35000,male,5
Features Reporter,35000,female,5
reporter,35000,female,4
Reporter,35000,male,4
Graphic Designer and Marketing Coordinator,35000,female,4
reporter,35000,female,3.5
Photographer,35000,male,3
Reporter,35000,female,3
Managing Editor,35000,female,3
Reporter,35000,female,3
Page designer,35000,female,2.5
