,jobtitle,salary
121,ceo,500000.0
120,president,500000.0
110,in,248312.25
111,chief,248312.25
119,ret,236000.0
116,department,178500.0
52,and,162150.0
101,lead,155250.0
118,major,145000.0
79,director,144318.18181818182
117,planning,135000.0
73,section,131340.0
74,leader,127040.0
115,head,125666.33333333333
23,anchor,125000.0
114,foreign,117000.0
99,of,114849.75
113,submission,114000.0
112,sr.,113000.0
92,deputy,112300.0
96,supervising,110000.0
77,photo,108621.2
28,editorial,107790.0
17,senior,107613.8947368421
109,animator,105000.0
68,correspondent,102138.8
108,data,100800.0
107,podcast,100000.0
55,team,98360.0
106,mid-level,98000.0
105,multiplatform,94000.0
0,editor,93527.08988764045
104,developer,89000.0
2,graphics,88980.0
103,story,87980.0
24,producer,87401.43902439025
102,researcher,86500.0
100,analytics,84150.0
72,video,82996.0
98,creative,81000.0
95,project,80966.66666666667
66,manager,79040.90909090909
97,food,78600.0
78,art,77700.0
75,development,76800.0
30,managing,73114.33333333333
84,audience,71533.33333333333
94,checker,69500.0
93,fact,69500.0
19,content,67920.57142857143
91,strategy,65000.0
90,assignment,64770.0
89,general,64770.0
5,reporter,64341.354838709674
41,production,64300.0
57,social,63850.22222222222
88,justice,63800.0
87,criminal,63800.0
86,animation,63700.0
85,publisher,62500.0
58,media,62331.5
62,engagement,61640.0
83,strategist,60500.0
82,solutions,60500.0
81,publicity,60400.0
10,writer,59768.38888888889
37,news,59442.0
80,audit,59000.0
7,graphic,58064.666666666664
14,associate,58024.0
34,photographer,58000.0
9,staff,55865.333333333336
76,account,55000.0
38,coordinator,54140.0
16,journalist,54108.333333333336
67,&,53550.0
46,executive,53000.0
3,designer,52284.857142857145
71,updates,51175.0
70,homepage,51000.0
69,junior,50700.0
56,marketing,50500.0
59,promotions,50062.5
29,assistant,49947.28571428572
63,web,49633.333333333336
65,publishing,48000.0
64,visuals,47250.0
18,digital,45447.0
39,page,44964.666666666664
61,videographer,44450.0
60,ga,43520.0
40,copywriter,42530.0
53,county,40820.0
54,courts,40820.0
51,hall,40820.0
50,city,40820.0
49,editor-in-chief,40000.0
48,the,40000.0
47,to,40000.0
20,specialist,39007.75
45,fellow,39000.0
44,reporting,39000.0
43,retired,38578.0
42,enterprise,38250.0
1,motion,34800.0
6,copy,34278.8
36,lifestyle,34100.0
35,i,33800.0
33,communications,31138.0
32,multimedia,31100.0
31,crime,30680.0
21,health,30000.0
27,part-time,29744.0
26,online,29500.0
25,mmj,27560.0
22,sports,27186.666666666668
15,community,19000.0
12,radio,16000.0
11,midday,16000.0
13,host,16000.0
8,artist,12694.0
4,freelance,12000.0
